section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Streams|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Unskilled Labour|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Crushed stones|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|River/Building Sand|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|defunct dams|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|Unskilled Labour|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|Crushed stones|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|River/Building Sand|75
3.3.2.1|Kalindawalo|Petauke Central Constituency|7|Construction and Upgrading of Health Centers.|Selected villages|All Wards|Kalindawalo||7||75
3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|Unskilled Labour|76
3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|Crushed stones|76
3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|River/Building Sand|76
3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Unskilled Labour|76
3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Crushed stones|76
3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|River/Building Sand|76
3.3.2.2|Mumbi|Petauke Central Constituency|11|Construction of Skills Training Centres|One site|Mbala|Kalindawalo||11||76
3.3.2.2|Mumbi|Petauke Central Constituency|1|Rehabilitation/Construction of Roads & Culverts|All Gazetted Roads Petauke/Mumbi - Nyalukomba/Minga Stop Mumbi/Chikumba Mumbi/Mung’ongo Malowe/Mnyeche Mung’ongo/Kasonde Madzi/Ngoli Minga/Mungomba Minga/Kanjoka Chisoyo/Mumbi||||Mumbi||76
3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Streams|77
3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (irrigation Schemes)|Molika, Mumbi, Mng’ong’o, Kamelavapya, Njemi, Milimbo, Kaluba, Kasonde, Fulu|All Wards|||Land|Defunct dams|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Mumbi HQs|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Ongolwe|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|4|Development of Livestock Multiplication Centres|Minga Stop||Msumbazi||Land – 10 hectares|Livestock farmers|77
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Mng’omba Ngoli|77
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|Msumbazi|77
3.3.2.2|Mumbi|Petauke Central Constituency|5|Construction of Health Centres|Mondola Chisoyo Ching’ombe|Ongolwe||Land – 5 hectares Unskilled Labour Crushed stones River/Building Sand|Land – 5 hectares|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Minga Stop|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Msumbazi|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|Crushed stones|77
3.3.2.2|Mumbi|Petauke Central Constituency|6|Construction of police posts|Mumbi HQs||Ongolwe||Land|River/Building Sand|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Unskilled Labour|77
3.3.2.2|Mumbi|Petauke Central Constituency|7|Construction of Agriculture Staff Houses (Extension Services Enhancement)|M’nyeche||Msumbazi||Land|Mumbi B|77
