province|year|urban_pct|source_page
Central|2011|25.5|11
Central|2015|25.4|11
Central|2020|25.4|11
Copperbelt|2011|82.1|11
Copperbelt|2015|83.0|11
Copperbelt|2020|84.1|11
Luapula|2011|19.4|11
Luapula|2015|21.0|11
Luapula|2020|23.1|11
Lusaka|2011|85.3|11
Lusaka|2015|85.7|11
Lusaka|2020|86.2|11
Muchinga|2011|18.6|11
Muchinga|2015|23.7|11
Muchinga|2020|28.5|11
Northern|2011|18.5|11
Northern|2015|19.0|11
Northern|2020|19.3|11
North-Western|2011|23.0|11
North-Western|2015|27.2|11
North-Western|2020|32.0|11
Southern|2011|24.8|11
Southern|2015|25.9|11
Southern|2020|26.9|11
Western|2011|13.3|11
Western|2015|12.5|11
Western|2020|11.9|11
Zambia|2011|40.6|11
Zambia|2015|41.8|11
Zambia|2020|43.3|11
