sn|breakdown_type|item_code|line_item|approved_2024|approved_2025
1|economic|21|Personal Emoluments|18583770|19203405
2|economic|22|Goods and Services|15839298|25575331
3|economic|25|Social Assistance Benefits|0|34838951
4|economic|26|Grants and Other Payments(Transfers)|16298162|17438933
5|economic|31|Non-Financial Assets|43264347|49627509
6|economic|32|Financial Assets|6984926|7473871
7|economic|41|Current Liabilities (Payable within one year)|455500|500000
8|programme|1|Constituency Development|61271284|72116301
9|programme|2|Local Governance||2928596
10|programme|3|Integrated Development Planning||2932734
11|programme|5|Public Health and Environmental Protection||7086866
12|programme|6|Housing and Community Amenities||5700616
13|programme|7|Recreation Culture and Religion||317844
14|programme|8|Education and Skills Development||440456
15|programme|10|Public Order and Safety||3415588
16|programme|11|Management and Support Services||11462064
17|programme|12|Resource Mobilisation and Management||387534
18|programme|13|District Health servcies||6819199
19|programme|15|Transport Services||3200587
20|programme|16|Agricultural Services||524367
21|programme|17|Fisheries and Livestock||486160
22|programme|18|Social Protection and Community Development||36839086
