sn|indicator_group|indicator|target_2024|actual_2024|target_2025|actual_2025
1|Roads Rehabilitated using Fuel Allocation|Roads Rehabilitated using Fuel Allocation||70|60|
2|Community Projects Branded|Community Projects Branded||49|40|
3|Weekly CDF Radio Shows Held|Weekly CDF Radio Shows Held||52|52|
4|CDF News Letters Produced|CDF News Letters Produced||2|2|
5|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|543|700|686|
6|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|351|400|468|
7|Ward Development Committees backstopped|Ward Development Committees backstopped|13|13|13|
8|Ward Development Committees backstopped|01 Number of Ward Development Committees backstopped|46|52|52|
9|Number of Ward Development Committees formed and orientaed|Number of Ward Development Committees formed and orientaed|13||13|
10|Council Meetings Held|Council Meetings Held|3|4|3|
11|Council Meetings Held|01 Number of Ordinary Council meetings held||1|1|
12|Council Meetings Held|02 Number of Special Council meetings conducted|13|16|12|
13|Councillors orientations held|Councillors orientations held|||1|
14|Community Engagement Meetings Held|Community Engagement Meetings Held|26|10|15|
15|Environmental Compliance Inspections Conducted|Environmental Compliance Inspections Conducted|10|4|8|
16|Environmental Compliance Inspections Conducted|01 Number of environmental compliance inspections conducted||100|100|
17|Environmental Compliance Inspections Conducted|02 Percentage of Environmental Project Briefs reviewed|||5|
18|Planning Permission Granted|Planning Permission Granted|20|24|20|
19|Planning Permission Granted|01 Number of planning permission granted||130|100|
20|Numbering and Survey of Plots Facilitated|Numbering and Survey of Plots Facilitated||20|20|
21|Numbering and Survey of Plots Facilitated|01 Number of plots facilitated for numbering||20|20|
22|National Days Commemorated|National Days Commemorated|2|4|4|
23|Building inspections conducted|Building inspections conducted|12|10|15|
24|District Planning Documents Developed and Reviewed|District Planning Documents Developed and Reviewed||1|1|
25|District Planning Documents Developed and Reviewed|01 Gender Equality and Social Inclusion Policy developed||13|13|
26|District Planning Documents Developed and Reviewed|02 Number of ward plans developed||1||
27|District Planning Documents Developed and Reviewed|03 Number of district profile developed||1|1|
28|District Planning Documents Developed and Reviewed|04 Number of Integrated Development Plan reviewed|||1|
29|Condoms distributed|Condoms distributed||669600|856224|
30|Unclaimed Bodies Disposed|Unclaimed Bodies Disposed|10|10|15|
31|Food Safety Guaranteed|Food Safety Guaranteed|440|690|700|
32|Food Safety Guaranteed|01 Numner of premises in compliance to minimum public health standards|60|100|100|
33|Abattoir Rehabilitated|Abattoir Rehabilitated||1|1|
34|Solid Waste Management Improved|Solid Waste Management Improved|6750|8600|8510|
35|Solid Waste Management Improved|01 Tonnage of solid waste collected|48|52|52|
36|Engineered Landfill Constructed|Engineered Landfill Constructed||1|1|
37|Trading Spaces Created|Trading Spaces Created||1||
38|Trading Spaces Created|01 Number of markets constructed|3|3|3|
39|Bus Station Constructed|Bus Station Constructed||1|1|
40|Trucking bay constructed|Trucking bay constructed|||1|
41|Public car parks established|Public car parks established|||2|
42|WASHE Conditions Improved in the District|WASHE Conditions Improved in the District|52|52|52|
43|WASHE Conditions Improved in the District|01 Number of Community Sensitisations Campaign on WASHE conducted|697|640|680|
44|Community Halls constructed|Community Halls constructed|||1|
45|Cultural Practices in the District Inventoried|Cultural Practices in the District Inventoried||1|1|
46|Traditional Ceremonies Supported|Traditional Ceremonies Supported||2|2|
47|Sports Activities Promoted|Sports Activities Promoted||7|4|
48|Sports Activities Promoted|01 Number of community sports descipline activities promoted at ward level||7||
49|Sports Activities Promoted|02 Number of sports activities conducted at district level||7||
50|Sports Activities Promoted|03 Number of sports equipment procured||7|4|
51|Sports Activities Promoted|04 Number of sports associations registered||4|4|
52|Sports Activities Promoted|05 Number of health walks conducted||1|1|
53|Sports Activities Promoted|06 Number of coaching clinics conducted|27|16|16|
54|Sports Activities Promoted|07 Number of Petauke United Football Club games supported|||3|
55|Sensitisation of Communities on the National Sports Policy Conducted|Sensitisation of Communities on the National Sports Policy Conducted||2||
56|Sports Facility Rehabilitated|Sports Facility Rehabilitated||4|2|
57|District Record Surveyed|District Record Surveyed||1|1|
58|Records Collected|Records Collected||100|100|
59|Records Processed and Shelved|Records Processed and Shelved||6|6|
60|Pre-School Enrolment|Pre-School Enrolment|33|50|50|
61|Cases of Public Muisance Resolved|Cases of Public Muisance Resolved|88|100|100|
62|Fire Protection Services Implemented|Fire Protection Services Implemented|100|100|100|
63|Fire Protection Services Implemented|01 Percentage of sensitisation meetings on risk management conducted|100|100|100|
64|Internal Audit Reports Actioned|Internal Audit Reports Actioned|3|4|4|
65|Procurement plan Developed|Procurement plan Developed|1|1|1|
66|Provincial Development Coordinating Committee meeting Attended|Provincial Development Coordinating Committee meeting Attended|3|4|4|
67|District Development Coordinating Committee Meetings Held|District Development Coordinating Committee Meetings Held|3|4|4|
68|Management Meetings Held|Management Meetings Held|12|12|12|
69|Debt Liquidated|Debt Liquidated||2|2|
