sn|programme_code|programme_name|approved_2024
1|1|Constituency Development|61271284
2|2|Local Governance|2158395
3|3|Integrated Development Planning|3036889
4|5|Public Health and Environmental Protection|1526280
5|6|Housing and Community Amenities|6830947
6|7|Recreation Culture and Religion|352670
7|8|Education and Skills Development|529179
8|10|Public Order and Safety|1885994
9|11|Management and Support Services|11567213
10|12|Resource Mobilisation and Management|1720000
11|13|District Health servcies|6823697
12|15|Transport Services|3742847
13|16|Agricultural Services|
14|17|Fisheries and Livestock|235976
15|18|Social Protection and Community Development|
