sn|indicator_group|indicator|target_2024|target_2025
1|Community Projects implemented|Community Projects implemented|1|13
2|Community Projects implemented|01 Number of earth moving equipment procured|13|
3|Community Projects implemented|02 Number of classrooms blocks constructed|6|
4|Community Projects implemented|03 Number of staff houses constructed in schools|1|
5|Community Projects implemented|04 Number of ablution blocks constructed in schools|21|
6|Community Projects implemented|05 Number of staff houses constructed at health posts|21|
7|Community Projects implemented|06 Number of health posts installed with solar powered systems|21|
8|Community Projects implemented|07 Number of ablution blocks with a shower room constructed in health posts|21|
9|Community Projects implemented|08 Number of health posts furnished with medical equipment|1|
10|Community Projects implemented|09 Number of maternity annexes constructed|4|
11|Community Projects implemented|10 Number of boreholes drilled and equipped|2|
12|Community Projects implemented|11 Number of agricultural camp houses constructed|1|
13|Roads rehabilitated using fuel allocation|Roads rehabilitated using fuel allocation|100|13
14|Community projects branded|Community projects branded|49|13
15|Weekly CDF radio shows held|Weekly CDF radio shows held|52|13
16|CDF News letters produced|CDF News letters produced|2|13
17|Secondary Boarding and Skills Development Bursaries Supported|Secondary Boarding and Skills Development Bursaries Supported|700|13
18|Secondary Boarding and Skills Development Bursaries Supported|01 Number of secondary boarding bursary learners supported|400|
19|Council Meetings conducted.|Council Meetings conducted.|4|16
20|Council Meetings conducted.|01 Number of Ordinary Council meetings held|1|
21|Council Meetings conducted.|02 Number of Special Council meetings conducted|16|
22|Community engagement meetings held|Community engagement meetings held|10|16
23|Environmental compliance inspections conducted|Environmental compliance inspections conducted|4|19
24|Environmental compliance inspections conducted|01 Number of environmental compliance inspections conducted|100|
25|Planning permission granted|Planning permission granted|100|19
26|Planning permission granted|01 Proportion of planning permission granted|130|
27|Numbering and survey of plots facilitated|Numbering and survey of plots facilitated|20|19
28|Numbering and survey of plots facilitated|01 Number of plots facilitated for numbering|20|
29|National Days Commemorated|National Days Commemorated|4|19
30|District planning documents developed and reviewed|District planning documents developed and reviewed|1|19
31|District planning documents developed and reviewed|01 Gender Equality and Social Inclusion Policy developed|13|
32|District planning documents developed and reviewed|02 Number of ward plans developed|1|
