record_id|council_name|source_document|sn|location|name|category|area_ha|perimeter_km|status|source_page|category_expanded|location_full
1|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|1|Petauke|FOREST Mupya West|IDP_LOCATIONS|308|7.3|About 261.8 HA has been cleared for agriculture fields and settlements|42|Local Forest|Petauke FOREST Mupya West
2|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|2|Petauke|Kapungwe West|IDP_LOCATIONS|1348|17.4|About 808.8 HA encroached for agriculture fields|42|Local Forest|Petauke Kapungwe West
3|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3|Petauke|Luwenga|IDP_LOCATIONS|1303|15.6|About 390.9 HA encroached d for agriculture|42|Local Forest|Petauke Luwenga
4|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|4|Petauke|Msumbazi|IDP_LOCATIONS|2141|19.6|About 1,605.75 HA encroached for mostly|42|Local Forest|Petauke Msumbazi
5|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|5|Petauke|Nsangwa North|IDP_LOCATIONS|809|18.1|aAgbroicuutl 3tu6r4e. 0fi5e lHdsA a nd a few seentctrleomacehnetds for mostly agriculture fields and a|42|Local Forest|Petauke Nsangwa North
6|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|6|Petauke|Nsangwa South|IDP_LOCATIONS|1959|22.2|sAebttoleumt 5e8n7t .7 HA encroached with|42|Local Forest|Petauke Nsangwa South
7|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|7|Petauke|Mpamadzi|IDP_LOCATIONS|791|13.2|sAebttoleumt 2e7n6ts. 8a5n dH fAie lds encroached for agriculture|42|Local Forest|Petauke Mpamadzi
8|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|8|Lusangazi|Sasare|IDP_LOCATIONS|2600|26.0|About 1,300 HA encroached with fields, villages with scattered settlements and a clinic and a primary school which is serve as a polling|42|Local Forest|Lusangazi Sasare
9|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|9|Petauke|Minga|IDP_LOCATIONS|6653|33.4|About 3,659.15 HA encroached with agricultural|42|National Forest|Petauke Minga
10|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|10|Petauke|FOREST Mvuvye East|IDP_LOCATIONS|35937|132.0|About 14,375.8 HA encroached in some parts with fields6bvllages and scattered farms, a community school which serve as a polling station|43|National Forest|Petauke FOREST Mvuvye East
