record_id|council_name|source_document|sn|disease|cases|incidence_rate|source_page|category|subcategory|disease_category
1|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|1|Respiratory infections|51309|181|15|STRATEGIC_PLAN|HEALTH|Respiratory
2|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|2|Malaria confirmed cases|41419|173|15|STRATEGIC_PLAN|HEALTH|Vector-borne
3|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|3|Muscular skeleton & connective tissues|10745|38|15|STRATEGIC_PLAN|HEALTH|Musculoskeletal
4|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|4|Digestive systems|7046|25|15|STRATEGIC_PLAN|HEALTH|Digestive / Febrile
5|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|5|Diarrhea non blood|6152|22|15|STRATEGIC_PLAN|HEALTH|Digestive / Febrile
6|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|6|Pyrexia of unknown origin (PUO)|3895|14|15|STRATEGIC_PLAN|HEALTH|Digestive / Febrile
7|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|7|Trauma, other injuries & wounds|2547|9|15|STRATEGIC_PLAN|HEALTH|Injury
8|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|8|Skin diseases not infectious|2473|9|15|STRATEGIC_PLAN|HEALTH|Skin
9|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|9|dental carries|1666|6|15|STRATEGIC_PLAN|HEALTH|Dental
10|Petauke Town Council|Petauke-Town-Council-Stratplan_2019-23.pdf|10|Throat diseases|1509|5|15|STRATEGIC_PLAN|HEALTH|Respiratory
