sn|location|name|category|area_ha|perimeter_km|status|source_page
1|Petauke|FOREST Mupya West|LF|308|(KM) 7.3|About 261.8 HA has been cleared for agriculture fields and settlements|42
2|Petauke|Kapungwe West|LF|1348|17.4|About 808.8 HA encroached for agriculture fields|42
3|Petauke|Luwenga|LF|1303|15.6|About 390.9 HA encroached d for agriculture|42
4|Petauke|Msumbazi|LF|2,141|19.6|fAieblodust 1,605.75 HA encroached for mostly|42
5|Petauke|Nsangwa North|LF|809|18.1|aAgbroicuutl 3tu6r4e. 0fi5e lHdsA a nd a few seentctrleomacehnetds for mostly agriculture fields and a|42
6|Petauke|Nsangwa South|LF|1,959|22.2|sAebttoleumt 5e8n7t .7 HA encroached with|42
7|Petauke|Mpamadzi|LF|791|13.2|sAebttoleumt 2e7n6ts. 8a5n dH fAie lds encroached for agriculture|42
8|Lusangazi|Sasare|LF|2,600|26|fAieblodust 1,300 HA encroached with fields, villages with scattered settlements and a clinic and a primary school which is serve as a polling|42
9|Petauke|Minga|NF|6,653|33.4|sAtabtoiount 3,659.15 HA encroached with agricultural|42
10|Petauke|FOREST Mvuvye East|NF|35,937|(KM) 132|About 14,375.8 HA encroached in some parts with fields6bvllages and scattered farms, a community school which serve as a polling station|43
