0|1|2|3|5|7|source_page|4|6
CODE|REVENUE DESCRIPTION|"APPROVED
BUDGET 2025"||"REVISED
BUDGET 2026"|"BUDGET
ESTIMATE 2027"|2||
01|Local taxes/rates|||||2||
001|Residential|2,000,000||2,000,000|2,000,000|2||
002|Commercial|2,000,000||2,000,000|2,000,000|2||
|SubItem Total||4,000,000|4,000,000|4,000,000|2||
001|Personal levy|73,500||80,850|97,020|2||
|SubItem Total||73,500|80,850|97,020|2||
CODE|REVENUE DESCRIPTION|"APPROVED
BUDGET 2025"||"REVISED
BUDGET 2026"|"BUDGET
ESTIMATE 2027"|2||
02|Fees and Charges|||||2||
001|Consent fees|16,000||17,600|21,120|2||
002|Survey fees|41,000||45,100|54,120|2||
003|Building inspection-fees|29,200||32,120|38,544|2||
004|Plan scrutiny fee|115,560||127,116|152,539|2||
005|Change of premise use|13,200||14,520|17,424|2||
006|Container/Ntemba fees|72,000||79,200|95,040|2||
007|Rentals/lease of Council’s properties|496,800||546,480|655,776|2||
008|Non-Land Application forms fees|32,000||35,200|42,240|2||
013|Market fees|555,060||610,566|732,679|2||
016|Loading fees (buses, trucks, trains, taxies etc.)|171,600||188,760|226,512|2||
017|Affidavit fees|145,000||159,500|191,400|2||
020|Hire of halls|5,000||5,500|6,600|2||
033|Refuse disposal|18,000||19,800|23,760|2||
043|Registration (Brand marks)|1,000||1,100|1,300|2||
045|Notice of marriage fees|140,500||154,550|185,460|2||
046|Abattoir/meat inspection fees|280,300||280,300|305,996|2||
047|Registration of clubs and societies|30,000||33,000|39,600|2||
051|Farm produce Fee|323,969||356,366|427,639|2||
056|Repairs of cars/garage/car wash|3,500||3,850|4,620|2||
059|Land Record|20,000||22,000|26,400|2||
063|Billboards and banners|215,500||237,050|284,460|2||
066|Penalties|119,104||131,014|157,217|2||
099|Other fees and charges|10,000||11,000|13,200|2||
|SubItem Total||2,854,293|3,111,692|3,703,647|2||
CODE|REVENUE DESCRIPTION|"APPROVED
BUDGET 2025"||"REVISED
BUDGET 2026"|"BUDGET
ESTIMATE 2027"|2||
03|Licenses|||||2||
002|Liquor licence|20,736||22,810|22,372|2||
003|Firearm and ammunition licence|7,000||7,700|9,240|2||
005|Dog licence|6,000||6,600|7,920|2||
099|Other Licences|113,300||124,630|162,019|2||
|SubItem Total||147,036|161,740|201,551|2||
CODE|REVENUE DESCRIPTION|"APPROVED
BUDGET 2025"||"REVISED
BUDGET 2026"|"BUDGET
ESTIMATE 2027"|3||
04|Levies|||||3||
001|Livestock Movement levy|5,000||5,500|6,600|3||
004|Pole levy|2,002||2,003|2,643|3||
