sn|category|code|revenue_item|approved_budget_2025|revised_budget_2026|budget_estimate_2027
1|Local taxes/rates|001|Residential|2000000|2000000|2000000
2|Local taxes/rates|002|Commercial|2000000|2000000|2000000
3|Local taxes/rates|001|Personal levy|73500|80850|97020
4|Fees and Charges|001|Consent fees|16000|17600|21120
5|Fees and Charges|002|Survey fees|41000|45100|54120
6|Fees and Charges|003|Building inspection-fees|29200|32120|38544
7|Fees and Charges|004|Plan scrutiny fee|115560|127116|152539
8|Fees and Charges|005|Change of premise use|13200|14520|17424
9|Fees and Charges|006|Container/Ntemba fees|72000|79200|95040
10|Fees and Charges|007|Rentals/lease of Council’s properties|496800|546480|655776
11|Fees and Charges|008|Non-Land Application forms fees|32000|35200|42240
12|Fees and Charges|013|Market fees|555060|610566|732679
13|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|171600|188760|226512
14|Fees and Charges|017|Affidavit fees|145000|159500|191400
15|Fees and Charges|020|Hire of halls|5000|5500|6600
16|Fees and Charges|033|Refuse disposal|18000|19800|23760
17|Fees and Charges|043|Registration (Brand marks)|1000|1100|1300
18|Fees and Charges|045|Notice of marriage fees|140500|154550|185460
19|Fees and Charges|046|Abattoir/meat inspection fees|280300|280300|305996
20|Fees and Charges|047|Registration of clubs and societies|30000|33000|39600
21|Fees and Charges|051|Farm produce Fee|323969|356366|427639
22|Fees and Charges|056|Repairs of cars/garage/car wash|3500|3850|4620
23|Fees and Charges|059|Land Record|20000|22000|26400
24|Fees and Charges|063|Billboards and banners|215500|237050|284460
25|Fees and Charges|066|Penalties|119104|131014|157217
26|Fees and Charges|099|Other fees and charges|10000|11000|13200
27|Licenses|002|Liquor licence|20736|22810|22372
28|Licenses|003|Firearm and ammunition licence|7000|7700|9240
29|Licenses|005|Dog licence|6000|6600|7920
30|Licenses|099|Other Licences|113300|124630|162019
31|Levies|001|Livestock Movement levy|5000|5500|6600
32|Levies|004|Pole levy|2002|2003|2643
33|Levies|006|Sand levy|10000|11000|13420
34|Levies|011|Telecommunication Mast|105000|115500|138600
35|Levies|017|Trading (Wholesale) Business Levy|10672|11672|12913
36|Levies|018|Trading (Retail) Consumable groceries business|333000|366300|476190
37|Levies|019|Retail Merchants non-consumable business|188898|207788|228567
38|Levies|020|Trading (Retail) chain stores and supermarkets|104200|114200|126082
39|Levies|021|Manufacturing|20000|22000|24200
40|Levies|028|Filling Station|19980|21978|24176
41|Levies|032|Hospitality|36000|39600|43560
42|Levies|033|Commercial Banks|27000|29700|32670
43|Levies|099|Other levies|500|550|660
44|Permits|001|Health permits|401740|441914|530297
45|Permits|008|Burial permits and grave sites|12500|13750|16500
46|Permits|009|Fire certificate|734620|808082|969698
47|Permits|010|Extension of Business hours permits|800|880|1056
48|Charges|001|Service Charges Residential plots|678000|695000|634960
49|Charges|002|Service Charges Industrial plots|2166000|1732600|1879120
50|Charges|003|Premium Plot- Residential|20000|22000|26400
51|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|1526705|1526705|1526705
52|National Support (Grants)|002|Roads Grant|3200587|3200587|3200587
53|National Support (Grants)|003|Health Grant|6819199|6819199|6819199
54|National Support (Grants)|004|Local Government Equalisation Fund|11967769|11967769|11967769
55|National Support (Grants)|005|Grants in lieu of Rates|600000|600000|600000
56|National Support (Grants)|099|Other Grants|46476698|46476698|46476698
57|Local Development Fund|001|Constituency Development Fund|72116301|95193518|
