No.,Project Name,Project Description,Sector,Type of Project,Province,District,Constituency,Ward,Project Site/Location,Approved Amount,Year Funded
1,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,Education,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,CHILIMANYAMA,Cheuka,"500,000",2022
2,HEALTH POST CONSTRUCTION,Construction of 1 Health post,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,CHILIMANYAMA,Lukasi,"400,000",2022
3,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,Education,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,KOVYANE,Kamwankhuku,"500,000",2022
4,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,Education,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,KOVYANE,Ndelemyа,"500,000",2022
5,Construction of Health post,Construction of Health post,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,KOVYANE,Kaombwe,"400,000",2022
6,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,OG2,Chisoyo,"500,000",2022
7,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,Education,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,ONGLOWE,Chingombe,"500,000",2022
8,HEALTH POST CONSTRUCTION,Construction of Health post,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,ONGLOWE,Mondola,"400,000",2022
9,HEALTH POST CONSTRUCTION,CONSTRUCTION OF HEALTH POST,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MINGA,KALUBA,"400,000",2022
10,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MINGA,MULANZI,"500,000",2022
11,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,NYIKA,CHIMATE,"500,000",2022
12,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,NYIKA,HILLSIDE,"500,000",2022
13,HEALTH POST CONSTRUCTION,CONSTRUCTION OF HEALTH POST,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,NYIKA,KALITO,"400,000",2022
14,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MBALA,CHAMANIKA,"500,000",2022
15,CONSTRUCTION OF HEALTH POST,CONSTRUCTION OF HEALTH POST,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MBALA,KAZALA PRIMARY SCHOOL,"400,000",2022
16,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MBALA,MADZI ATUWA,"500,000",2022
17,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MSUMBAZI,PETAUKE CENTRAL,"500,000",2022
18,HEALTH POST CONSTRUCTION,CONSTRUCTION OF HEALTH POST AND BOREHOLE,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,MSUMBAZI,PETAUKE CENTRAL,"437,412",2022
19,HEALTH POST CONSTRUCTION,CONSTRUCTION OF HEALTH POST,HEALTH,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,NSIMBO,CHALIMBAN,"400,000",2022
20,CLASSROOM CONSTRUCTION,CONSTRUCTION OF 1X2 CLASSROOM BLOCK,EDUCATION,CONSTRUCTION,EASTERN,PETAUKE,PETAUKE CENTRAL,NSIMBO,MULAWA,"500,000",2022
