No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested,COMMENTS
1,Classroom Block,1x2 Classroom Block,Education,Construction of 1x2 Classroom Block,Kaumbwe,Kanyanga,Kanyanga B School,"70,000",Funds were not adequate for all projects to be approved
2,Health Post,Health Post,Health,Construction and Rehabilitation of a Health Post,Kaumbwe,Kanyanga,Nyakutwa Health Post,"700,000",Funds were not adequate for all projects to be approved
3,Staff Houses,3 Staff Houses,Health,Construction of 3 Staff House,Kaumbwe,Kanyanga,Matonje Health Post,"820,000",Funds were not adequate for all projects to be approved
4,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kanyanga,Mateyokalizya,"60,000",Funds were not adequate for all projects to be approved
5,Classroom Block,1x3 Classroom Block,Education,Construction of 1x3 Classroom Block,Kaumbwe,Kanyanga,Chimunzi Primary School,"450,000",Funds were not adequate for all projects to be approved
6,Electricity,Electricity,Education,Connection of Electricity Power,Kaumbwe,Kanyanga,Kasusu Primary School,"80,000",Funds were not adequate for all projects to be approved
7,Staff Houses,2 Staff Houses,Education,Construction of 2 Staff Houses,Kaumbwe,Kanyanga,Kasusu Primary School,"500,000",Funds were not adequate for all projects to be approved
8,Classroom Block,1x2 Classroom Block,Education,Renovation of a 1x2 Classroom Block,Kaumbwe,Kanyanga,Chimunzi Primary School,"71,000",Funds were not adequate for all projects to be approved
9,Health Post,Health Post,Health,Construction and Rehabilitation of a Health Post,Kaumbwe,Kanyanga,Matonje Health Post,"500,000",Funds were not adequate for all projects to be approved
10,Maternity Annex,Maternity Annex,Health,Construction of a Maternity Annex,Kaumbwe,Kanyanga,Kasoko Health Post,"500,000",Funds were not adequate for all projects to be approved
11,Health Post,Health Post,Health,Opening of a Health Post,Kaumbwe,Kanyanga,Chimunzi,"200,000",Funds were not adequate for all projects to be approved
12,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Kanyanga,Kasusu,"700,000",Funds were not adequate for all projects to be approved
13,Police Post,Police Post,Home Affairs,Construction of a Police Post,Kaumbwe,Kanyanga,Kasusu,"600,000",Funds were not adequate for all projects to be approved
14,Borehole and Piped Water,Borehole and Piped Water,Water and Sanitation,Borehole Drilling and Piped Water,Kaumbwe,Kanyanga,Mwambezi Primary School,"365,183",Funds were not adequate for all projects to be approved
15,Administration Block,Administration Block,Education,Construction of a Administration Block,Kaumbwe,Kanyanga,Mwambezi,"254,700",Funds were not adequate for all projects to be approved
16,Classroom Block,1x3 Classroom Block,Education,Construction of a 1x3 Classroom Block,Kaumbwe,Kanyanga,Mwambezi,"514,650",Funds were not adequate for all projects to be approved
17,Classroom Block,1x3 Classroom Block,Education,Construction of a 1x3 Classroom Block,Kaumbwe,Kanyanga,Nyakutwa Primary School,"1,200,000",Funds were not adequate for all projects to be approved
18,Domitary,Girls Domitary,Education,Construction of a Girls Domitary,Kaumbwe,Kanyanga,Mwambezi Primary School,"184,470",Funds were not adequate for all projects to be approved
19,Ablution Block,Ablution Block,Education,Construction of Ablution Blocks and Water Borne Sanitation System for Girls and Boys,Kaumbwe,Manyane,Mankhungwe Primary School,"900,000",Funds were not adequate for all projects to be approved
20,Dam,Dam,Water and Sanitation,Construction of a Dam,Kaumbwe,Manyane,"Mankhungwe, Matonje","2,500,000",Funds were not adequate for all projects to be approved
