No.,Project Name,Project Description,Sector,Type of Project,Constituency,Ward,Project Site/Location,Project Amount Requested
1,Classroom Block,1x2 Classroom Block,Education,Construction of 1x2 Classroom Block,Kaumbwe,Kanyanga,Kanyanga B School,"70,000"
2,Health Post,Health Post,Health,Construction and Rehabilitation of a Health Post,Kaumbwe,Kanyanga,Nyakutwa Health Post,"700,000"
3,Staff Houses,3 Staff Houses,Health,Construction of 3 Staff House,Kaumbwe,Kanyanga,Matonje Health Post,"820,000"
4,Bull Dozer,Bull Dozer,Roads,Purchase of a Bull Dozer,Kaumbwe,Kanyanga,Kanyanga,"2,400,550,000"
5,Grader,Grader,Roads,Purchase of a Grader,Kaumbwe,Kanyanga,Kanyanga,"2,110,250,000"
6,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kanyanga,Mateyokalizya,"60,000"
7,Classroom Block,1x3 Classroom Block,Education,Construction of 1x3 Classroom Block,Kaumbwe,Kanyanga,Chimunzi Primary School,"450,000"
8,Electricity,Electricity,Education,Connection of Electricity Power,Kaumbwe,Kanyanga,Kasusu Primary School,"80,000"
9,Staff Houses,2 Staff Houses,Education,Construction of 2 Staff Houses,Kaumbwe,Kanyanga,Kasusu Primary School,"500,000"
10,Classroom Block,1x2 Classroom Block,Education,Renovation of a 1x2 C;assroom Block,Kaumbwe,Kanyanga,Chimunzi Primary School,"71,000"
11,Staff House,Staff House,Health,Construction of 1 Staff House,Kaumbwe,Kanyanga,Chikumba Village,"700,000"
12,Classroom Block,1x3 Classroom Block,Education,Construction of 1x3 Classroom Block,Kaumbwe,Kanyanga,Nyakwalala,"700,000"
13,Health Post,Health Post,Health,Construction and Rehabilitation of a Health Post,Kaumbwe,Kanyanga,Matonje Health Post,"500,000"
14,Maternity Annex,Maternity Annex,Health,Construction of a Maternity Annex,Kaumbwe,Kanyanga,Kasoko Health Post,"500,000"
15,Health Post,Health Post,Health,Opening of a Health Post,Kaumbwe,Kanyanga,Chimunzi,"200,000"
16,Staff Houses,Staff Houses,Education,Construction of Three Staff Houses,Kaumbwe,Kanyanga,Chimunzi Primary School,"350,000"
17,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Kanyanga,Kasusu,"700,000"
18,Police Post,Police Post,Home Affairs,Construction of a Police Post,Kaumbwe,Kanyanga,Kasusu,"600,000"
19,Houses,Camp Officer's House,Agriculture,Construction of a Camp Officer's House,Kaumbwe,Kanyanga,Kasusu Agriculture Camp,"380,000"
20,Borehole and Piped Water,Borehole and Piped Water,Water and Sanitation,Borehole Drilling and Piped Water,Kaumbwe,Kanyanga,Mwambezi Primary School,"365,183"
21,Administration Block,Administration Block,Education,Construction of a Administration Block,Kaumbwe,Kanyanga,Mwambezi,"254,700"
22,Staff Houses,Staff Houses,Education,Construction of Staff Houses,Kaumbwe,Kanyanga,Mwambezi Primary School,"520,530"
23,Classroom Block,1x3 Classroom Block,Education,Construction of a 1x3 Classroom Block,Kaumbwe,Kanyanga,Mwambezi,"514,650"
24,Classroom Block,1x3 Classroom Block,Education,Construction of a 1x3 Classroom Block,Kaumbwe,Kanyanga,Nyakutwa Primary School,"1,200,000"
25,Domitary,Girls Domitary,Education,Construction of a Girls Domitary,Kaumbwe,Kanyanga,Mwambezi Primary School,"184,470"
26,Ablution Block,Ablution Block,Education,Construction of Ablution Blocks and Water Borne Sanitation System for Girls and Boys,Kaumbwe,Manyane,Mankhungwe Primary School,"900,000"
27,Dam,Dam,Water and Sanitation,Construction of a Dam,Kaumbwe,Manyane,"Mankhungwe, Matonje","2,500,000"
28,Staff Houses,2 Staff Houses,Health,Construction of 2 Staff Houses,Kaumbwe,Manyane,Mankhungwe Health Post,"1,000,000"
29,School,School,Education,Construction of a School,Kaumbwe,Manyane,Mankhungwe Health Post,"855,650"
30,Borehole,Borehole,Water and Sanitation,Borehole Drilling,Kaumbwe,Manyane,Nyakumwa,3000
31,Borehole,Borehole,Water and Sanitation,Borehole Drilling,Kaumbwe,Manyane,Chimtenje,"50,000"
32,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manyane,Malipa Village,"30,000"
33,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manyane,Changa Village,"80,000"
34,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Mulinda Village,"50,000"
35,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Nthambalika,"50,000"
36,Borehole,Borehole,Water and Sanitation,Borehole Drilling,Kaumbwe,Manyane,Abram Village,"50,000"
37,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manyane,Nyamilongo Village,"50,000"
38,"Classroom Block, Staff House and Toilet","1x3 Classroom Block, Staff House and Toilet",Education,"Construction of 1x3 Classroom Block, Staff House and Toilet",Kaumbwe,Kaumbwe,,"1,400,000"
39,Water,Water System,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Kaumbwe,Mwanjabanthu RHC,"35,500"
40,Classroom Block and Dinning Hall,1x3 Classroom Block and Dinning Hall,Education,Construction of a 1x3 Classroom Block and Dinning Hall,Kaumbwe,Kaumbwe,Zumaile Day PTA Committee,"2,000,000"
41,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Meck Village,"40,000"
42,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Kapotwe,"30,000"
43,Bridge,Bridge,Education,Construction of a Bridge,Kaumbwe,Kaumbwe,Nyansimbo,"250,000"
44,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Nkhundwe Village,"30,000"
45,Classroom Block and Staff Houses,1x3 Classroom Block and 3 Staff Houses,Water and Sanitation,Construction of a 1x3 Classroom Block and 3 Staff Houses,Kaumbwe,Kaumbwe,Nyawalira Primary School,"6,000,000"
46,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Chimulamba Village,"30,000"
47,Classroom Block,1x1 Classroom Block,Education,Construction of 1 Classroom for Early Childhood,Kaumbwe,Kaumbwe,Wankhala Primary School,"150,000"
48,Staff Houses,4 Staff Houses,Education,Construction of 4 Staff Houses,Kaumbwe,Kaumbwe,,"1,200,000"
49,Staff Houses,5 Staff Houses,Education,Renovation of 5 Staff Houses,Kaumbwe,Kaumbwe,Zumaire Primary School,"755,622"
50,Roofing,Roofing Sheets,,Roofing Materials of a Shed,Kaumbwe,Kaumbwe,Nyalingu Community Shed,NIL
51,Staff Houses,Staff Houses,Education,Rehabilitation of Staff Houses,Kaumbwe,Kaumbwe,Nyalingu Community,"250,000"
52,Mother's Waiting Shelter,Mother's waiting Shelter,Health,Construction of a Mother's Waiting Shelter,Kaumbwe,Kaumbwe,Kaumbwe Mini Hospital,"800,000"
53,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Zuwa Village,"40,000"
54,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Kaumbwe,Sinyanga Village,"50,000"
55,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Kaumbwe,Nyamanja Village,"280,000"
56,Staff Houses and Early Childhood Classroom Block,Staff Houses and Early Childhood Classroom Block,Education,Construction of Staff Houses and Early Childhood Classroom Block,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000"
57,Sub Clinic,Sub Clinic,Health,Construction of a Sub Clinic,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000"
58,Road and Bridge,Road and Bridge,Education,Construction of Road and Bridge,Kaumbwe,Kaumbwe,Mbaza Primary School,"500,000"
59,Classroom Block,Classroom Block,Education,Completion of a Classroom Block,Kaumbwe,Kaumbwe,Mwanjabanthu Day Secondary,"1,500,000"
60,Health Equipment,Health Equipment,Health,Purchase of Health Equipment,Kaumbwe,Kaumbwe,Kaumbwe Min Hospital,"800,000"
61,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Kaumbwe,Mwenda Village,"40,000"
62,Water,Water Borne,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Nyanema Village,"50,000"
63,Water,Water,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manyane,Nyanoka,"45,000"
64,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manyane,Kapinde Village,"50,000"
65,Modern Out-patient Department,Modern Out-patient Department,Health,Construction of a Modern Out-patient Department,Kaumbwe,Manjazi,Manyane Health Centre,"990,000"
66,Staff Houses,Staff Houses,Health,Construction of Staff Houses,Kaumbwe,Manjazi,Manyane Health Centre,"600,000"
67,Staff House and Toilet,Staff House and Toilet,Fisheries and Livestock,Construction and rehabilitation of a Staff House and Toilet,Kaumbwe,Manjazi,Manyane Settlement,"250,000"
68,"Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex","Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex",Health,"Construction of Staff Houses, Toilets, Placenta Pit, Incinerator and Maternity Annex",Kaumbwe,Manjazi,Nyimbamwana Health Post,"50,000"
69,Health Post,Health Post,Health,Construction of a Health Post,Kaumbwe,Manjazi,Kafunde,"1,000,000"
70,Borehole,Borehole,Water and Sanitation,Drilling of a Borehole,Kaumbwe,Manjazi,,
71,Staff Houses,Staff Houses,Education,Construction of Staff Houses,Kaumbwe,Manjazi,Chikoko Primary School,
72,Dip Water Tanks,Dip Water Tanks,Water and Sanitation,Acess to Safe Drinking Water,Kaumbwe,Manjazi,Nyakwenda Village,"250,000"
73,"Classroom Block, Toilets and Staff Houses","1x3 Classroom Block, Toilets and Staff Houses",Education,"Construction 1x3 Classroom Block, Toilets and Staff Houses",Kaumbwe,Manjazi,Nyimbamwana Primary School,"500,000"
74,Maternity Annex,Maternity Annex,Health,Construction of a Maternity Annex,Kaumbwe,Manjazi,,"500,000"
