project_id|project_name|project_description|sector|project_type|province|district|constituency|ward|project_site|amount_requested_zmw|approved_amount_zmw|effective_amount_zmw|amount_category|has_amount|year_funded|status|comments|source_file
KPR-1|Classroom Block|1x2 Classroom Block|Education|Construction of 1x2 Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Kanyanga B School|70000.0||70000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-2|Health Post|Health Post|Health|Construction and Rehabilitation of a Health Post|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Nyakutwa Health Post|700000.0||700000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-3|Staff Houses|3 Staff Houses|Health|Construction of 3 Staff House|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Matonje Health Post|820000.0||820000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-4|Bull Dozer|Bull Dozer|Roads|Purchase of a Bull Dozer|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Kanyanga|2400550000.0||2400550000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-5|Grader|Grader|Roads|Purchase of a Grader|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Kanyanga|2110250000.0||2110250000.0|High (>1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-6|Borehole|Borehole|Water and Sanitation|Drilling of a Borehole|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Mateyokalizya|60000.0||60000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-7|Classroom Block|1x3 Classroom Block|Education|Construction of 1x3 Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Chimunzi Primary School|450000.0||450000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-8|Electricity|Electricity|Education|Connection of Electricity Power|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Kasusu Primary School|80000.0||80000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-9|Staff Houses|2 Staff Houses|Education|Construction of 2 Staff Houses|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Kasusu Primary School|500000.0||500000.0|Medium (100K–1M)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
KPR-10|Classroom Block|1x2 Classroom Block|Education|Renovation of a 1x2 Classroom Block|Muchinga|Kaumbwe|Kaumbwe|Kanyanga|Chimunzi Primary School|71000.0||71000.0|Low (<100K)|1|2025|Proposed||2025-PROPOSED-COMMUNITY-PROJECTS-KAUMBWE2.csv
