record_id|council_name|source_document|section_num|chiefdom|constituency|sn|project_name|village|ward|chiefdom_in_row|resources|priority|sub_item|source_page
1|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Streams|75
2|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Unskilled Labour|75
3|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|Crushed stones|75
4|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|River/Building Sand|75
5|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|2|Construction/Rehabilitation of Dams (Irrigation Schemes).|Selected villages|All wards|Kalindawalo||2|defunct dams|75
6|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|Unskilled Labour|75
7|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|Crushed stones|75
8|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|6|Drilling of solar powered of Boreholes|Villages with critical shortage of water|All Wards|Kalindawalo||6|River/Building Sand|75
9|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.1|Kalindawalo|Petauke Central Constituency|7|Construction and Upgrading of Health Centers.|Selected villages|All Wards|Kalindawalo||7||75
10|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|Unskilled Labour|76
11|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|Crushed stones|76
12|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|8|Construction of Schools, Literacy Centres and Upgrading of Schools|Selected villages|All Wards|Kalindawalo||8|River/Building Sand|76
13|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Unskilled Labour|76
14|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|Crushed stones|76
15|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|10|Aquaculture Development (Construction of Fish Ponds and Fingerling Hatcheries).|One site per ward|All Wards|Kalindawalo||10|River/Building Sand|76
16|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|11|Construction of Skills Training Centres|One site|Mbala|Kalindawalo||11||76
17|Petauke Town Council|Petauke.Lusangazi-Joint-IDP-Final.pdf|3.3.2.2|Mumbi|Petauke Central Constituency|1|Rehabilitation/Construction of Roads & Culverts|All Gazetted Roads Petauke/Mumbi - Nyalukomba/Minga Stop Mumbi/Chikumba Mumbi/Mung’ongo Malowe/Mnyeche Mung’ongo/Kasonde Madzi/Ngoli Minga/Mungomba Minga/Kanjoka Chisoyo/Mumbi||||Mumbi||76
