sn|council|breakdown_type|item_code|line_item|budget_year|amount_zmw
1|Petauke Town Council|economic|21|Personal Emoluments|2024|18583770
2|Petauke Town Council|economic|22|Goods and Services|2024|15839298
3|Petauke Town Council|economic|25|Social Assistance Benefits|2024|0
4|Petauke Town Council|economic|26|Grants and Other Payments(Transfers)|2024|16298162
5|Petauke Town Council|economic|31|Non-Financial Assets|2024|43264347
6|Petauke Town Council|economic|32|Financial Assets|2024|6984926
7|Petauke Town Council|economic|41|Current Liabilities (Payable within one year)|2024|455500
8|Petauke Town Council|programme|1|Constituency Development|2024|61271284
9|Petauke Town Council|economic|21|Personal Emoluments|2025|19203405
10|Petauke Town Council|economic|22|Goods and Services|2025|25575331
11|Petauke Town Council|economic|25|Social Assistance Benefits|2025|34838951
12|Petauke Town Council|economic|26|Grants and Other Payments(Transfers)|2025|17438933
13|Petauke Town Council|economic|31|Non-Financial Assets|2025|49627509
14|Petauke Town Council|economic|32|Financial Assets|2025|7473871
15|Petauke Town Council|economic|41|Current Liabilities (Payable within one year)|2025|500000
16|Petauke Town Council|programme|1|Constituency Development|2025|72116301
17|Petauke Town Council|programme|2|Local Governance|2025|2928596
18|Petauke Town Council|programme|3|Integrated Development Planning|2025|2932734
19|Petauke Town Council|programme|5|Public Health and Environmental Protection|2025|7086866
20|Petauke Town Council|programme|6|Housing and Community Amenities|2025|5700616
21|Petauke Town Council|programme|7|Recreation Culture and Religion|2025|317844
22|Petauke Town Council|programme|8|Education and Skills Development|2025|440456
23|Petauke Town Council|programme|10|Public Order and Safety|2025|3415588
24|Petauke Town Council|programme|11|Management and Support Services|2025|11462064
25|Petauke Town Council|programme|12|Resource Mobilisation and Management|2025|387534
26|Petauke Town Council|programme|13|District Health servcies|2025|6819199
27|Petauke Town Council|programme|15|Transport Services|2025|3200587
28|Petauke Town Council|programme|16|Agricultural Services|2025|524367
29|Petauke Town Council|programme|17|Fisheries and Livestock|2025|486160
30|Petauke Town Council|programme|18|Social Protection and Community Development|2025|36839086
