sn|council|programme_code|programme_name|budget_year|amount_zmw
1|Petauke Town Council|1|Constituency Development|2024|61271284
2|Petauke Town Council|2|Local Governance|2024|2158395
3|Petauke Town Council|3|Integrated Development Planning|2024|3036889
4|Petauke Town Council|5|Public Health and Environmental Protection|2024|1526280
5|Petauke Town Council|6|Housing and Community Amenities|2024|6830947
6|Petauke Town Council|7|Recreation Culture and Religion|2024|352670
7|Petauke Town Council|8|Education and Skills Development|2024|529179
8|Petauke Town Council|10|Public Order and Safety|2024|1885994
9|Petauke Town Council|11|Management and Support Services|2024|11567213
10|Petauke Town Council|12|Resource Mobilisation and Management|2024|1720000
11|Petauke Town Council|13|District Health servcies|2024|6823697
12|Petauke Town Council|15|Transport Services|2024|3742847
13|Petauke Town Council|17|Fisheries and Livestock|2024|235976
