sn|council|budget_year|category|item_code|item|budget_type|amount_zmw|source_file
1|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|approved|3200587|2025_obb
2|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|revised|3200587|2025_obb
3|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|estimate|3200587|2025_obb
4|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|approved|6819199|2025_obb
5|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|revised|6819199|2025_obb
6|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|estimate|6819199|2025_obb
7|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|approved|11967769|2025_obb
8|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|revised|11967769|2025_obb
9|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|estimate|11967769|2025_obb
10|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|approved|600000|2025_obb
11|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|revised|600000|2025_obb
12|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|estimate|600000|2025_obb
13|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|approved|46476698|2025_obb
14|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|revised|46476698|2025_obb
15|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|estimate|46476698|2025_obb
16|Petauke Town Council|2025|Local Development Fund|001|Constituency Development Fund|approved|72116301|2025_obb
17|Petauke Town Council|2025|Local Development Fund|001|Constituency Development Fund|revised|95193518|2025_obb
18|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|approved|6351370|2026_budget
19|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|revised|6351370|2026_budget
20|Petauke Town Council|2026|National Support (Grants)|002|Roads Grant|estimate|6351370|2026_budget
21|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|approved|7201706|2026_budget
22|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|revised|7201706|2026_budget
23|Petauke Town Council|2026|National Support (Grants)|003|Health Grant|estimate|7201706|2026_budget
24|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|approved|11967775|2026_budget
25|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|revised|11967775|2026_budget
26|Petauke Town Council|2026|National Support (Grants)|004|Local Government Equalisation Fund|estimate|11967775|2026_budget
27|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|approved|800000|2026_budget
28|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|revised|800000|2026_budget
29|Petauke Town Council|2026|National Support (Grants)|005|Grants in lieu of Rates|estimate|800000|2026_budget
30|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|approved|16763610|2026_budget
31|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|revised|16763610|2026_budget
32|Petauke Town Council|2026|National Support (Grants)|099|Other Grants|estimate|16763610|2026_budget
33|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|approved|8340000|2026_budget
34|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|revised|8340000|2026_budget
35|Petauke Town Council|2026|Donor Support (Grants)|001|Devolution Capital Grant|estimate|8340000|2026_budget
36|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|approved|80065100|2026_budget
37|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|revised|88071610|2026_budget
38|Petauke Town Council|2026|Local Development Fund|001|Constituency Development Fund|estimate|105685932|2026_budget
