sn|council|indicator_group|indicator|year|target|actual|attainment_pct
1|Petauke Town Council|Abattoir Rehabilitated|Abattoir Rehabilitated|2024||1|
2|Petauke Town Council|Abattoir Rehabilitated|Abattoir Rehabilitated|2025|1||
3|Petauke Town Council|Agricultural Extension Services Delivery Improved|01 Numbers farmers registers updated|2024||1|
4|Petauke Town Council|Agricultural Extension Services Delivery Improved|01 Numbers farmers registers updated|2025|1||
5|Petauke Town Council|Agricultural Extension Services Delivery Improved|02 Number of camp houses rehabilitated|2024||1|
6|Petauke Town Council|Agricultural Extension Services Delivery Improved|02 Number of camp houses rehabilitated|2025|1||
7|Petauke Town Council|Agricultural Extension Services Delivery Improved|Agricultural Extension Services Delivery Improved|2024||1|
8|Petauke Town Council|Agricultural Extension Services Delivery Improved|Agricultural Extension Services Delivery Improved|2025|1||
9|Petauke Town Council|Agricultural Market Crops Established|01 Number of entrepreneurship skills trainings conducted|2024||2|
10|Petauke Town Council|Agricultural Market Crops Established|01 Number of entrepreneurship skills trainings conducted|2025|2||
11|Petauke Town Council|Agricultural Market Crops Established|Agricultural Market Crops Established|2024||5|
12|Petauke Town Council|Agricultural Market Crops Established|Agricultural Market Crops Established|2025|5||
13|Petauke Town Council|Agricultural Shows Coordinated|Agricultural Shows Coordinated|2024||3|
14|Petauke Town Council|Agricultural Shows Coordinated|Agricultural Shows Coordinated|2025|3||
15|Petauke Town Council|Agriculture Information Collected|Agriculture Information Collected|2024||12|
16|Petauke Town Council|Agriculture Information Collected|Agriculture Information Collected|2025|12||
17|Petauke Town Council|Animal Health Extension and Advisory Services Provided|01 Number of Disease surveillance programs and activities undertaken|2024|550|320|58.18
18|Petauke Town Council|Animal Health Extension and Advisory Services Provided|01 Number of Disease surveillance programs and activities undertaken|2025|350||
19|Petauke Town Council|Animal Health Extension and Advisory Services Provided|02 Number of stock movement permits issued|2024||320|
20|Petauke Town Council|Animal Health Extension and Advisory Services Provided|02 Number of stock movement permits issued|2025|200||
21|Petauke Town Council|Animal Health Extension and Advisory Services Provided|03 Number of slaughter permits issued|2024|201|200|99.5
22|Petauke Town Council|Animal Health Extension and Advisory Services Provided|03 Number of slaughter permits issued|2025|500||
23|Petauke Town Council|Animal Health Extension and Advisory Services Provided|Animal Health Extension and Advisory Services Provided|2024|25|24|96.0
24|Petauke Town Council|Animal Health Extension and Advisory Services Provided|Animal Health Extension and Advisory Services Provided|2025|60||
25|Petauke Town Council|Aquaculture Extension Services|01 Number of fish farming trainings and sensitisations conducted|2024||16|
26|Petauke Town Council|Aquaculture Extension Services|01 Number of fish farming trainings and sensitisations conducted|2025|12||
27|Petauke Town Council|Aquaculture Extension Services|02 Number of patrols conducted|2024||25|
28|Petauke Town Council|Aquaculture Extension Services|02 Number of patrols conducted|2025|25||
29|Petauke Town Council|Aquaculture Extension Services|Aquaculture Extension Services|2024||16|
30|Petauke Town Council|Aquaculture Extension Services|Aquaculture Extension Services|2025|20||
31|Petauke Town Council|Backstopping and Monitoring Vsits Conducted|Backstopping and Monitoring Vsits Conducted|2024||12|
32|Petauke Town Council|Backstopping and Monitoring Vsits Conducted|Backstopping and Monitoring Vsits Conducted|2025|12||
33|Petauke Town Council|Building inspections conducted|Building inspections conducted|2024|12|10|83.33
34|Petauke Town Council|Building inspections conducted|Building inspections conducted|2025|15||
