sn|council|budget_year|category|item_count|approved|revised|estimate|pct_of_total|growth_pct
1|Petauke Town Council|2025|Charges|3|2864000|2449600|2540480.0|1.85|-11.3
2|Petauke Town Council|2025|Fees and Charges|23|2854293|3111692|3703646.0|1.85|29.76
3|Petauke Town Council|2025|Levies|13|862252|947791|1130281.0|0.56|31.08
4|Petauke Town Council|2025|Licenses|4|147036|161740|201551.0|0.1|37.08
5|Petauke Town Council|2025|Local Development Fund|1|72116301|95193518|0.0|46.63|-100.0
6|Petauke Town Council|2025|Local taxes/rates|3|4073500|4080850|4097020.0|2.63|0.58
7|Petauke Town Council|2025|National Support (Grants)|5|69064253|69064253|69064253.0|44.66|0.0
8|Petauke Town Council|2025|Other Incomes|1|1526705|1526705|1526705.0|0.99|0.0
9|Petauke Town Council|2025|Permits|4|1149660|1264626|1517551.0|0.74|32.0
10|Petauke Town Council|2026|Charges|2|1200000|1320000|1560000.0|0.83|30.0
11|Petauke Town Council|2026|Donor Support (Grants)|1|8340000|8340000|8340000.0|5.79|0.0
12|Petauke Town Council|2026|Fees and Charges|27|3426172|3768789|4517120.0|2.38|31.84
13|Petauke Town Council|2026|Levies|13|1233468|1356615|1618459.0|0.86|31.21
14|Petauke Town Council|2026|Licenses|3|36801|40482|48577.0|0.03|32.0
15|Petauke Town Council|2026|Local Development Fund|1|80065100|88071610|105685932.0|55.55|32.0
16|Petauke Town Council|2026|Local taxes/rates|3|4073500|4080850|4097020.0|2.83|0.58
17|Petauke Town Council|2026|National Support (Grants)|5|43084461|43084461|43084461.0|29.89|0.0
18|Petauke Town Council|2026|Other Incomes|1|1300000|1430000|1690000.0|0.9|30.0
19|Petauke Town Council|2026|Permits|6|1382150|1520365|1797540.0|0.96|30.05
