sn|council|budget_year|category|item_code|revenue_item|budget_type|amount_zmw|source_file
1|Petauke Town Council|2025|Local taxes/rates|001|Residential|approved|2000000|2025_obb
2|Petauke Town Council|2025|Local taxes/rates|001|Residential|revised|2000000|2025_obb
3|Petauke Town Council|2025|Local taxes/rates|001|Residential|estimate|2000000|2025_obb
4|Petauke Town Council|2025|Local taxes/rates|002|Commercial|approved|2000000|2025_obb
5|Petauke Town Council|2025|Local taxes/rates|002|Commercial|revised|2000000|2025_obb
6|Petauke Town Council|2025|Local taxes/rates|002|Commercial|estimate|2000000|2025_obb
7|Petauke Town Council|2025|Local taxes/rates|001|Personal levy|approved|73500|2025_obb
8|Petauke Town Council|2025|Local taxes/rates|001|Personal levy|revised|80850|2025_obb
9|Petauke Town Council|2025|Local taxes/rates|001|Personal levy|estimate|97020|2025_obb
10|Petauke Town Council|2025|Fees and Charges|001|Consent fees|approved|16000|2025_obb
11|Petauke Town Council|2025|Fees and Charges|001|Consent fees|revised|17600|2025_obb
12|Petauke Town Council|2025|Fees and Charges|001|Consent fees|estimate|21120|2025_obb
13|Petauke Town Council|2025|Fees and Charges|002|Survey fees|approved|41000|2025_obb
14|Petauke Town Council|2025|Fees and Charges|002|Survey fees|revised|45100|2025_obb
15|Petauke Town Council|2025|Fees and Charges|002|Survey fees|estimate|54120|2025_obb
16|Petauke Town Council|2025|Fees and Charges|003|Building inspection-fees|approved|29200|2025_obb
17|Petauke Town Council|2025|Fees and Charges|003|Building inspection-fees|revised|32120|2025_obb
18|Petauke Town Council|2025|Fees and Charges|003|Building inspection-fees|estimate|38544|2025_obb
19|Petauke Town Council|2025|Fees and Charges|004|Plan scrutiny fee|approved|115560|2025_obb
20|Petauke Town Council|2025|Fees and Charges|004|Plan scrutiny fee|revised|127116|2025_obb
21|Petauke Town Council|2025|Fees and Charges|004|Plan scrutiny fee|estimate|152539|2025_obb
22|Petauke Town Council|2025|Fees and Charges|005|Change of premise use|approved|13200|2025_obb
23|Petauke Town Council|2025|Fees and Charges|005|Change of premise use|revised|14520|2025_obb
24|Petauke Town Council|2025|Fees and Charges|005|Change of premise use|estimate|17424|2025_obb
25|Petauke Town Council|2025|Fees and Charges|006|Container/Ntemba fees|approved|72000|2025_obb
26|Petauke Town Council|2025|Fees and Charges|006|Container/Ntemba fees|revised|79200|2025_obb
27|Petauke Town Council|2025|Fees and Charges|006|Container/Ntemba fees|estimate|95040|2025_obb
28|Petauke Town Council|2025|Fees and Charges|007|Rentals/lease of Council’s properties|approved|496800|2025_obb
29|Petauke Town Council|2025|Fees and Charges|007|Rentals/lease of Council’s properties|revised|546480|2025_obb
30|Petauke Town Council|2025|Fees and Charges|007|Rentals/lease of Council’s properties|estimate|655776|2025_obb
31|Petauke Town Council|2025|Fees and Charges|008|Non-Land Application forms fees|approved|32000|2025_obb
32|Petauke Town Council|2025|Fees and Charges|008|Non-Land Application forms fees|revised|35200|2025_obb
33|Petauke Town Council|2025|Fees and Charges|008|Non-Land Application forms fees|estimate|42240|2025_obb
34|Petauke Town Council|2025|Fees and Charges|013|Market fees|approved|555060|2025_obb
35|Petauke Town Council|2025|Fees and Charges|013|Market fees|revised|610566|2025_obb
36|Petauke Town Council|2025|Fees and Charges|013|Market fees|estimate|732679|2025_obb
37|Petauke Town Council|2025|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|approved|171600|2025_obb
38|Petauke Town Council|2025|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|revised|188760|2025_obb
39|Petauke Town Council|2025|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|estimate|226512|2025_obb
40|Petauke Town Council|2025|Fees and Charges|017|Affidavit fees|approved|145000|2025_obb
41|Petauke Town Council|2025|Fees and Charges|017|Affidavit fees|revised|159500|2025_obb
42|Petauke Town Council|2025|Fees and Charges|017|Affidavit fees|estimate|191400|2025_obb
43|Petauke Town Council|2025|Fees and Charges|020|Hire of halls|approved|5000|2025_obb
44|Petauke Town Council|2025|Fees and Charges|020|Hire of halls|revised|5500|2025_obb
45|Petauke Town Council|2025|Fees and Charges|020|Hire of halls|estimate|6600|2025_obb
46|Petauke Town Council|2025|Fees and Charges|033|Refuse disposal|approved|18000|2025_obb
47|Petauke Town Council|2025|Fees and Charges|033|Refuse disposal|revised|19800|2025_obb
48|Petauke Town Council|2025|Fees and Charges|033|Refuse disposal|estimate|23760|2025_obb
49|Petauke Town Council|2025|Fees and Charges|043|Registration (Brand marks)|approved|1000|2025_obb
50|Petauke Town Council|2025|Fees and Charges|043|Registration (Brand marks)|revised|1100|2025_obb
51|Petauke Town Council|2025|Fees and Charges|043|Registration (Brand marks)|estimate|1300|2025_obb
52|Petauke Town Council|2025|Fees and Charges|045|Notice of marriage fees|approved|140500|2025_obb
53|Petauke Town Council|2025|Fees and Charges|045|Notice of marriage fees|revised|154550|2025_obb
54|Petauke Town Council|2025|Fees and Charges|045|Notice of marriage fees|estimate|185460|2025_obb
55|Petauke Town Council|2025|Fees and Charges|046|Abattoir/meat inspection fees|approved|280300|2025_obb
56|Petauke Town Council|2025|Fees and Charges|046|Abattoir/meat inspection fees|revised|280300|2025_obb
57|Petauke Town Council|2025|Fees and Charges|046|Abattoir/meat inspection fees|estimate|305996|2025_obb
58|Petauke Town Council|2025|Fees and Charges|047|Registration of clubs and societies|approved|30000|2025_obb
59|Petauke Town Council|2025|Fees and Charges|047|Registration of clubs and societies|revised|33000|2025_obb
60|Petauke Town Council|2025|Fees and Charges|047|Registration of clubs and societies|estimate|39600|2025_obb
61|Petauke Town Council|2025|Fees and Charges|051|Farm produce Fee|approved|323969|2025_obb
62|Petauke Town Council|2025|Fees and Charges|051|Farm produce Fee|revised|356366|2025_obb
63|Petauke Town Council|2025|Fees and Charges|051|Farm produce Fee|estimate|427639|2025_obb
64|Petauke Town Council|2025|Fees and Charges|056|Repairs of cars/garage/car wash|approved|3500|2025_obb
65|Petauke Town Council|2025|Fees and Charges|056|Repairs of cars/garage/car wash|revised|3850|2025_obb
66|Petauke Town Council|2025|Fees and Charges|056|Repairs of cars/garage/car wash|estimate|4620|2025_obb
67|Petauke Town Council|2025|Fees and Charges|059|Land Record|approved|20000|2025_obb
68|Petauke Town Council|2025|Fees and Charges|059|Land Record|revised|22000|2025_obb
69|Petauke Town Council|2025|Fees and Charges|059|Land Record|estimate|26400|2025_obb
70|Petauke Town Council|2025|Fees and Charges|063|Billboards and banners|approved|215500|2025_obb
71|Petauke Town Council|2025|Fees and Charges|063|Billboards and banners|revised|237050|2025_obb
72|Petauke Town Council|2025|Fees and Charges|063|Billboards and banners|estimate|284460|2025_obb
73|Petauke Town Council|2025|Fees and Charges|066|Penalties|approved|119104|2025_obb
74|Petauke Town Council|2025|Fees and Charges|066|Penalties|revised|131014|2025_obb
75|Petauke Town Council|2025|Fees and Charges|066|Penalties|estimate|157217|2025_obb
76|Petauke Town Council|2025|Fees and Charges|099|Other fees and charges|approved|10000|2025_obb
77|Petauke Town Council|2025|Fees and Charges|099|Other fees and charges|revised|11000|2025_obb
78|Petauke Town Council|2025|Fees and Charges|099|Other fees and charges|estimate|13200|2025_obb
79|Petauke Town Council|2025|Licenses|002|Liquor licence|approved|20736|2025_obb
80|Petauke Town Council|2025|Licenses|002|Liquor licence|revised|22810|2025_obb
81|Petauke Town Council|2025|Licenses|002|Liquor licence|estimate|22372|2025_obb
82|Petauke Town Council|2025|Licenses|003|Firearm and ammunition licence|approved|7000|2025_obb
83|Petauke Town Council|2025|Licenses|003|Firearm and ammunition licence|revised|7700|2025_obb
84|Petauke Town Council|2025|Licenses|003|Firearm and ammunition licence|estimate|9240|2025_obb
85|Petauke Town Council|2025|Licenses|005|Dog licence|approved|6000|2025_obb
86|Petauke Town Council|2025|Licenses|005|Dog licence|revised|6600|2025_obb
87|Petauke Town Council|2025|Licenses|005|Dog licence|estimate|7920|2025_obb
88|Petauke Town Council|2025|Licenses|099|Other Licences|approved|113300|2025_obb
89|Petauke Town Council|2025|Licenses|099|Other Licences|revised|124630|2025_obb
90|Petauke Town Council|2025|Licenses|099|Other Licences|estimate|162019|2025_obb
91|Petauke Town Council|2025|Levies|001|Livestock Movement levy|approved|5000|2025_obb
92|Petauke Town Council|2025|Levies|001|Livestock Movement levy|revised|5500|2025_obb
93|Petauke Town Council|2025|Levies|001|Livestock Movement levy|estimate|6600|2025_obb
94|Petauke Town Council|2025|Levies|004|Pole levy|approved|2002|2025_obb
95|Petauke Town Council|2025|Levies|004|Pole levy|revised|2003|2025_obb
96|Petauke Town Council|2025|Levies|004|Pole levy|estimate|2643|2025_obb
97|Petauke Town Council|2025|Levies|006|Sand levy|approved|10000|2025_obb
98|Petauke Town Council|2025|Levies|006|Sand levy|revised|11000|2025_obb
99|Petauke Town Council|2025|Levies|006|Sand levy|estimate|13420|2025_obb
100|Petauke Town Council|2025|Levies|011|Telecommunication Mast|approved|105000|2025_obb
101|Petauke Town Council|2025|Levies|011|Telecommunication Mast|revised|115500|2025_obb
102|Petauke Town Council|2025|Levies|011|Telecommunication Mast|estimate|138600|2025_obb
103|Petauke Town Council|2025|Levies|017|Trading (Wholesale) Business Levy|approved|10672|2025_obb
104|Petauke Town Council|2025|Levies|017|Trading (Wholesale) Business Levy|revised|11672|2025_obb
105|Petauke Town Council|2025|Levies|017|Trading (Wholesale) Business Levy|estimate|12913|2025_obb
106|Petauke Town Council|2025|Levies|018|Trading (Retail) Consumable groceries business|approved|333000|2025_obb
107|Petauke Town Council|2025|Levies|018|Trading (Retail) Consumable groceries business|revised|366300|2025_obb
108|Petauke Town Council|2025|Levies|018|Trading (Retail) Consumable groceries business|estimate|476190|2025_obb
109|Petauke Town Council|2025|Levies|019|Retail Merchants non-consumable business|approved|188898|2025_obb
110|Petauke Town Council|2025|Levies|019|Retail Merchants non-consumable business|revised|207788|2025_obb
111|Petauke Town Council|2025|Levies|019|Retail Merchants non-consumable business|estimate|228567|2025_obb
112|Petauke Town Council|2025|Levies|020|Trading (Retail) chain stores and supermarkets|approved|104200|2025_obb
113|Petauke Town Council|2025|Levies|020|Trading (Retail) chain stores and supermarkets|revised|114200|2025_obb
114|Petauke Town Council|2025|Levies|020|Trading (Retail) chain stores and supermarkets|estimate|126082|2025_obb
115|Petauke Town Council|2025|Levies|021|Manufacturing|approved|20000|2025_obb
116|Petauke Town Council|2025|Levies|021|Manufacturing|revised|22000|2025_obb
117|Petauke Town Council|2025|Levies|021|Manufacturing|estimate|24200|2025_obb
118|Petauke Town Council|2025|Levies|028|Filling Station|approved|19980|2025_obb
119|Petauke Town Council|2025|Levies|028|Filling Station|revised|21978|2025_obb
120|Petauke Town Council|2025|Levies|028|Filling Station|estimate|24176|2025_obb
121|Petauke Town Council|2025|Levies|032|Hospitality|approved|36000|2025_obb
122|Petauke Town Council|2025|Levies|032|Hospitality|revised|39600|2025_obb
123|Petauke Town Council|2025|Levies|032|Hospitality|estimate|43560|2025_obb
124|Petauke Town Council|2025|Levies|033|Commercial Banks|approved|27000|2025_obb
125|Petauke Town Council|2025|Levies|033|Commercial Banks|revised|29700|2025_obb
126|Petauke Town Council|2025|Levies|033|Commercial Banks|estimate|32670|2025_obb
127|Petauke Town Council|2025|Levies|099|Other levies|approved|500|2025_obb
128|Petauke Town Council|2025|Levies|099|Other levies|revised|550|2025_obb
129|Petauke Town Council|2025|Levies|099|Other levies|estimate|660|2025_obb
130|Petauke Town Council|2025|Permits|001|Health permits|approved|401740|2025_obb
131|Petauke Town Council|2025|Permits|001|Health permits|revised|441914|2025_obb
132|Petauke Town Council|2025|Permits|001|Health permits|estimate|530297|2025_obb
133|Petauke Town Council|2025|Permits|008|Burial permits and grave sites|approved|12500|2025_obb
134|Petauke Town Council|2025|Permits|008|Burial permits and grave sites|revised|13750|2025_obb
135|Petauke Town Council|2025|Permits|008|Burial permits and grave sites|estimate|16500|2025_obb
136|Petauke Town Council|2025|Permits|009|Fire certificate|approved|734620|2025_obb
137|Petauke Town Council|2025|Permits|009|Fire certificate|revised|808082|2025_obb
138|Petauke Town Council|2025|Permits|009|Fire certificate|estimate|969698|2025_obb
139|Petauke Town Council|2025|Permits|010|Extension of Business hours permits|approved|800|2025_obb
140|Petauke Town Council|2025|Permits|010|Extension of Business hours permits|revised|880|2025_obb
141|Petauke Town Council|2025|Permits|010|Extension of Business hours permits|estimate|1056|2025_obb
142|Petauke Town Council|2025|Charges|001|Service Charges Residential plots|approved|678000|2025_obb
143|Petauke Town Council|2025|Charges|001|Service Charges Residential plots|revised|695000|2025_obb
144|Petauke Town Council|2025|Charges|001|Service Charges Residential plots|estimate|634960|2025_obb
145|Petauke Town Council|2025|Charges|002|Service Charges Industrial plots|approved|2166000|2025_obb
146|Petauke Town Council|2025|Charges|002|Service Charges Industrial plots|revised|1732600|2025_obb
147|Petauke Town Council|2025|Charges|002|Service Charges Industrial plots|estimate|1879120|2025_obb
148|Petauke Town Council|2025|Charges|003|Premium Plot- Residential|approved|20000|2025_obb
149|Petauke Town Council|2025|Charges|003|Premium Plot- Residential|revised|22000|2025_obb
150|Petauke Town Council|2025|Charges|003|Premium Plot- Residential|estimate|26400|2025_obb
151|Petauke Town Council|2025|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|approved|1526705|2025_obb
152|Petauke Town Council|2025|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|revised|1526705|2025_obb
153|Petauke Town Council|2025|Other Incomes|002|Surplus/ Deficit from Commercial Ventures|estimate|1526705|2025_obb
154|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|approved|3200587|2025_obb
155|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|revised|3200587|2025_obb
156|Petauke Town Council|2025|National Support (Grants)|002|Roads Grant|estimate|3200587|2025_obb
157|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|approved|6819199|2025_obb
158|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|revised|6819199|2025_obb
159|Petauke Town Council|2025|National Support (Grants)|003|Health Grant|estimate|6819199|2025_obb
160|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|approved|11967769|2025_obb
161|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|revised|11967769|2025_obb
162|Petauke Town Council|2025|National Support (Grants)|004|Local Government Equalisation Fund|estimate|11967769|2025_obb
163|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|approved|600000|2025_obb
164|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|revised|600000|2025_obb
165|Petauke Town Council|2025|National Support (Grants)|005|Grants in lieu of Rates|estimate|600000|2025_obb
166|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|approved|46476698|2025_obb
167|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|revised|46476698|2025_obb
168|Petauke Town Council|2025|National Support (Grants)|099|Other Grants|estimate|46476698|2025_obb
169|Petauke Town Council|2025|Local Development Fund|001|Constituency Development Fund|approved|72116301|2025_obb
170|Petauke Town Council|2025|Local Development Fund|001|Constituency Development Fund|revised|95193518|2025_obb
171|Petauke Town Council|2026|Local taxes/rates|001|Residential|approved|2000000|2026_budget
172|Petauke Town Council|2026|Local taxes/rates|001|Residential|revised|2000000|2026_budget
173|Petauke Town Council|2026|Local taxes/rates|001|Residential|estimate|2000000|2026_budget
174|Petauke Town Council|2026|Local taxes/rates|002|Commercial|approved|2000000|2026_budget
175|Petauke Town Council|2026|Local taxes/rates|002|Commercial|revised|2000000|2026_budget
176|Petauke Town Council|2026|Local taxes/rates|002|Commercial|estimate|2000000|2026_budget
177|Petauke Town Council|2026|Local taxes/rates|001|Personal levy|approved|73500|2026_budget
178|Petauke Town Council|2026|Local taxes/rates|001|Personal levy|revised|80850|2026_budget
179|Petauke Town Council|2026|Local taxes/rates|001|Personal levy|estimate|97020|2026_budget
180|Petauke Town Council|2026|Fees and Charges|002|Survey fees|approved|38000|2026_budget
181|Petauke Town Council|2026|Fees and Charges|002|Survey fees|revised|41800|2026_budget
182|Petauke Town Council|2026|Fees and Charges|002|Survey fees|estimate|50160|2026_budget
183|Petauke Town Council|2026|Fees and Charges|003|Building inspection-fees|approved|40100|2026_budget
184|Petauke Town Council|2026|Fees and Charges|003|Building inspection-fees|revised|44110|2026_budget
185|Petauke Town Council|2026|Fees and Charges|003|Building inspection-fees|estimate|52932|2026_budget
186|Petauke Town Council|2026|Fees and Charges|004|Plan scrutiny fee|approved|131510|2026_budget
187|Petauke Town Council|2026|Fees and Charges|004|Plan scrutiny fee|revised|144661|2026_budget
188|Petauke Town Council|2026|Fees and Charges|004|Plan scrutiny fee|estimate|173593|2026_budget
189|Petauke Town Council|2026|Fees and Charges|005|Change of premise use|approved|6600|2026_budget
190|Petauke Town Council|2026|Fees and Charges|005|Change of premise use|revised|7260|2026_budget
191|Petauke Town Council|2026|Fees and Charges|005|Change of premise use|estimate|8712|2026_budget
192|Petauke Town Council|2026|Fees and Charges|007|Rentals/lease of Council’s properties|approved|529200|2026_budget
193|Petauke Town Council|2026|Fees and Charges|007|Rentals/lease of Council’s properties|revised|582120|2026_budget
194|Petauke Town Council|2026|Fees and Charges|007|Rentals/lease of Council’s properties|estimate|698544|2026_budget
195|Petauke Town Council|2026|Fees and Charges|008|Non-Land Application forms fees|approved|277750|2026_budget
196|Petauke Town Council|2026|Fees and Charges|008|Non-Land Application forms fees|revised|305525|2026_budget
197|Petauke Town Council|2026|Fees and Charges|008|Non-Land Application forms fees|estimate|366630|2026_budget
198|Petauke Town Council|2026|Fees and Charges|011|Search fees|approved|3000|2026_budget
199|Petauke Town Council|2026|Fees and Charges|011|Search fees|revised|3300|2026_budget
200|Petauke Town Council|2026|Fees and Charges|011|Search fees|estimate|3960|2026_budget
201|Petauke Town Council|2026|Fees and Charges|013|Market fees|approved|604460|2026_budget
202|Petauke Town Council|2026|Fees and Charges|013|Market fees|revised|664906|2026_budget
203|Petauke Town Council|2026|Fees and Charges|013|Market fees|estimate|797887|2026_budget
204|Petauke Town Council|2026|Fees and Charges|014|Parking fees|approved|184320|2026_budget
205|Petauke Town Council|2026|Fees and Charges|014|Parking fees|revised|202752|2026_budget
206|Petauke Town Council|2026|Fees and Charges|014|Parking fees|estimate|243304|2026_budget
207|Petauke Town Council|2026|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|approved|193520|2026_budget
208|Petauke Town Council|2026|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|revised|212872|2026_budget
209|Petauke Town Council|2026|Fees and Charges|016|Loading fees (buses, trucks, trains, taxies etc.)|estimate|255446|2026_budget
210|Petauke Town Council|2026|Fees and Charges|017|Affidavit fees|approved|26500|2026_budget
211|Petauke Town Council|2026|Fees and Charges|017|Affidavit fees|revised|29150|2026_budget
212|Petauke Town Council|2026|Fees and Charges|017|Affidavit fees|estimate|34980|2026_budget
213|Petauke Town Council|2026|Fees and Charges|020|Hire of halls|approved|4000|2026_budget
214|Petauke Town Council|2026|Fees and Charges|020|Hire of halls|revised|4400|2026_budget
215|Petauke Town Council|2026|Fees and Charges|020|Hire of halls|estimate|5280|2026_budget
216|Petauke Town Council|2026|Fees and Charges|031|Motorbike and Bicycle fees|approved|213120|2026_budget
217|Petauke Town Council|2026|Fees and Charges|031|Motorbike and Bicycle fees|revised|234432|2026_budget
218|Petauke Town Council|2026|Fees and Charges|031|Motorbike and Bicycle fees|estimate|281318|2026_budget
219|Petauke Town Council|2026|Fees and Charges|033|Refuse disposal|approved|11400|2026_budget
220|Petauke Town Council|2026|Fees and Charges|033|Refuse disposal|revised|12540|2026_budget
221|Petauke Town Council|2026|Fees and Charges|033|Refuse disposal|estimate|15048|2026_budget
222|Petauke Town Council|2026|Fees and Charges|042|Animal Ante mortem fees|approved|70000|2026_budget
223|Petauke Town Council|2026|Fees and Charges|042|Animal Ante mortem fees|revised|77000|2026_budget
224|Petauke Town Council|2026|Fees and Charges|042|Animal Ante mortem fees|estimate|91000|2026_budget
225|Petauke Town Council|2026|Fees and Charges|045|Notice of marriage fees|approved|40100|2026_budget
226|Petauke Town Council|2026|Fees and Charges|045|Notice of marriage fees|revised|44110|2026_budget
227|Petauke Town Council|2026|Fees and Charges|045|Notice of marriage fees|estimate|52932|2026_budget
228|Petauke Town Council|2026|Fees and Charges|046|Abattoir/meat inspection fees|approved|78000|2026_budget
229|Petauke Town Council|2026|Fees and Charges|046|Abattoir/meat inspection fees|revised|85800|2026_budget
230|Petauke Town Council|2026|Fees and Charges|046|Abattoir/meat inspection fees|estimate|102960|2026_budget
231|Petauke Town Council|2026|Fees and Charges|047|Registration of clubs and societies|approved|100500|2026_budget
232|Petauke Town Council|2026|Fees and Charges|047|Registration of clubs and societies|revised|110550|2026_budget
233|Petauke Town Council|2026|Fees and Charges|047|Registration of clubs and societies|estimate|130650|2026_budget
234|Petauke Town Council|2026|Fees and Charges|051|Farm produce Fee|approved|443300|2026_budget
235|Petauke Town Council|2026|Fees and Charges|051|Farm produce Fee|revised|487630|2026_budget
236|Petauke Town Council|2026|Fees and Charges|051|Farm produce Fee|estimate|585156|2026_budget
237|Petauke Town Council|2026|Fees and Charges|056|Repairs of cars/garage/car wash|approved|2000|2026_budget
238|Petauke Town Council|2026|Fees and Charges|056|Repairs of cars/garage/car wash|revised|2200|2026_budget
239|Petauke Town Council|2026|Fees and Charges|056|Repairs of cars/garage/car wash|estimate|2640|2026_budget
240|Petauke Town Council|2026|Fees and Charges|059|Land Record|approved|30000|2026_budget
241|Petauke Town Council|2026|Fees and Charges|059|Land Record|revised|33000|2026_budget
242|Petauke Town Council|2026|Fees and Charges|059|Land Record|estimate|39600|2026_budget
243|Petauke Town Council|2026|Fees and Charges|063|Billboards and banners|approved|108500|2026_budget
244|Petauke Town Council|2026|Fees and Charges|063|Billboards and banners|revised|119350|2026_budget
245|Petauke Town Council|2026|Fees and Charges|063|Billboards and banners|estimate|143220|2026_budget
246|Petauke Town Council|2026|Fees and Charges|064|Hire of Transport and Equipment|approved|37000|2026_budget
247|Petauke Town Council|2026|Fees and Charges|064|Hire of Transport and Equipment|revised|40700|2026_budget
248|Petauke Town Council|2026|Fees and Charges|064|Hire of Transport and Equipment|estimate|48840|2026_budget
249|Petauke Town Council|2026|Fees and Charges|065|Council Minutes Extracts|approved|107400|2026_budget
250|Petauke Town Council|2026|Fees and Charges|065|Council Minutes Extracts|revised|118140|2026_budget
251|Petauke Town Council|2026|Fees and Charges|065|Council Minutes Extracts|estimate|141768|2026_budget
252|Petauke Town Council|2026|Fees and Charges|066|Penalties|approved|100892|2026_budget
253|Petauke Town Council|2026|Fees and Charges|066|Penalties|revised|110981|2026_budget
254|Petauke Town Council|2026|Fees and Charges|066|Penalties|estimate|131160|2026_budget
255|Petauke Town Council|2026|Fees and Charges|069|Laboratory charges|approved|15000|2026_budget
256|Petauke Town Council|2026|Fees and Charges|069|Laboratory charges|revised|16500|2026_budget
257|Petauke Town Council|2026|Fees and Charges|069|Laboratory charges|estimate|19800|2026_budget
258|Petauke Town Council|2026|Fees and Charges|099|Other fees and charges|approved|30000|2026_budget
259|Petauke Town Council|2026|Fees and Charges|099|Other fees and charges|revised|33000|2026_budget
260|Petauke Town Council|2026|Fees and Charges|099|Other fees and charges|estimate|39600|2026_budget
261|Petauke Town Council|2026|Licenses|002|Liquor licence|approved|18576|2026_budget
262|Petauke Town Council|2026|Licenses|002|Liquor licence|revised|20434|2026_budget
263|Petauke Town Council|2026|Licenses|002|Liquor licence|estimate|24520|2026_budget
264|Petauke Town Council|2026|Licenses|003|Firearm and ammunition licence|approved|8225|2026_budget
265|Petauke Town Council|2026|Licenses|003|Firearm and ammunition licence|revised|9048|2026_budget
266|Petauke Town Council|2026|Licenses|003|Firearm and ammunition licence|estimate|10857|2026_budget
267|Petauke Town Council|2026|Licenses|099|Other Licences|approved|10000|2026_budget
268|Petauke Town Council|2026|Licenses|099|Other Licences|revised|11000|2026_budget
269|Petauke Town Council|2026|Licenses|099|Other Licences|estimate|13200|2026_budget
270|Petauke Town Council|2026|Levies|001|Livestock Movement levy|approved|48000|2026_budget
271|Petauke Town Council|2026|Levies|001|Livestock Movement levy|revised|52800|2026_budget
272|Petauke Town Council|2026|Levies|001|Livestock Movement levy|estimate|62400|2026_budget
273|Petauke Town Council|2026|Levies|003|Fish levy|approved|2000|2026_budget
274|Petauke Town Council|2026|Levies|003|Fish levy|revised|2200|2026_budget
275|Petauke Town Council|2026|Levies|003|Fish levy|estimate|2600|2026_budget
276|Petauke Town Council|2026|Levies|004|Pole levy|approved|2002|2026_budget
277|Petauke Town Council|2026|Levies|004|Pole levy|revised|2002|2026_budget
278|Petauke Town Council|2026|Levies|004|Pole levy|estimate|2643|2026_budget
279|Petauke Town Council|2026|Levies|006|Sand levy|approved|10000|2026_budget
280|Petauke Town Council|2026|Levies|006|Sand levy|revised|11000|2026_budget
281|Petauke Town Council|2026|Levies|006|Sand levy|estimate|13200|2026_budget
282|Petauke Town Council|2026|Levies|011|Telecommunication Mast|approved|115000|2026_budget
283|Petauke Town Council|2026|Levies|011|Telecommunication Mast|revised|126500|2026_budget
284|Petauke Town Council|2026|Levies|011|Telecommunication Mast|estimate|149500|2026_budget
285|Petauke Town Council|2026|Levies|017|Trading (Wholesale) Business Levy|approved|78348|2026_budget
286|Petauke Town Council|2026|Levies|017|Trading (Wholesale) Business Levy|revised|86183|2026_budget
287|Petauke Town Council|2026|Levies|017|Trading (Wholesale) Business Levy|estimate|101852|2026_budget
288|Petauke Town Council|2026|Levies|018|Trading (Retail) Consumable groceries business|approved|453766|2026_budget
289|Petauke Town Council|2026|Levies|018|Trading (Retail) Consumable groceries business|revised|499143|2026_budget
290|Petauke Town Council|2026|Levies|018|Trading (Retail) Consumable groceries business|estimate|598971|2026_budget
291|Petauke Town Council|2026|Levies|019|Retail Merchants non-consumable business|approved|242600|2026_budget
292|Petauke Town Council|2026|Levies|019|Retail Merchants non-consumable business|revised|266860|2026_budget
293|Petauke Town Council|2026|Levies|019|Retail Merchants non-consumable business|estimate|315380|2026_budget
294|Petauke Town Council|2026|Levies|020|Trading (Retail) chain stores and supermarkets|approved|26672|2026_budget
295|Petauke Town Council|2026|Levies|020|Trading (Retail) chain stores and supermarkets|revised|29339|2026_budget
296|Petauke Town Council|2026|Levies|020|Trading (Retail) chain stores and supermarkets|estimate|35207|2026_budget
297|Petauke Town Council|2026|Levies|021|Manufacturing|approved|90000|2026_budget
298|Petauke Town Council|2026|Levies|021|Manufacturing|revised|99000|2026_budget
299|Petauke Town Council|2026|Levies|021|Manufacturing|estimate|118800|2026_budget
300|Petauke Town Council|2026|Levies|028|Filling Station|approved|19980|2026_budget
301|Petauke Town Council|2026|Levies|028|Filling Station|revised|21978|2026_budget
302|Petauke Town Council|2026|Levies|028|Filling Station|estimate|26374|2026_budget
303|Petauke Town Council|2026|Levies|032|Hospitality|approved|78100|2026_budget
304|Petauke Town Council|2026|Levies|032|Hospitality|revised|85910|2026_budget
305|Petauke Town Council|2026|Levies|032|Hospitality|estimate|103092|2026_budget
306|Petauke Town Council|2026|Levies|033|Commercial Banks|approved|67000|2026_budget
307|Petauke Town Council|2026|Levies|033|Commercial Banks|revised|73700|2026_budget
308|Petauke Town Council|2026|Levies|033|Commercial Banks|estimate|88440|2026_budget
309|Petauke Town Council|2026|Permits|001|Health permits|approved|472420|2026_budget
310|Petauke Town Council|2026|Permits|001|Health permits|revised|519662|2026_budget
